RANK	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220
ID	pen_brush	pen_radius	pen_radius_pulse	pen_color	pen_color_pulse	repop_color	repop_color_pulse	pen_grey	repop_grey	pen_color_a	blendTransp	pixel_mode	pixel_acc_factor	pixel_acc_pulse	noiseScale	noiseLineScale	noiseType	noiseAngleScale	noiseCenter_0	noiseCenter_1	pixel_acc_center_0	pixel_acc_center_1	pixel_radius	pixel_radius_pulse	repop_BG	repop_CA	repop_part	repop_part_pulse	CA1Type	CA1SubType	CA2Type	CA2SubType	CA1_CA2_weight	CAParams1	CAParams2	CAParams3	CAParams4	CAParams5	CAParams6	CAParams7	CAParams8	clearCA	clearLayer	clearAllLayers	invertAllLayers	snapshot_onOff	cursorSize	echo	echoNeg	flashPartCA_freq	flashTrkCA_freq_0	flashTrkCA_freq_1	flashTrkCA_freq_2	flashTrkCA_freq_3	flashCAPart_freq	flashTrkPart_freq_0	flashTrkPart_freq_1	flashTrkPart_freq_2	flashTrkPart_freq_3	flashCABG_freq	flashPartBG_freq	flashTrkBG_freq_1	flashTrkBG_freq_2	flashTrkBG_freq_3	flashPixel_freq	flashPixel_duration	flashCameraTrkLength	flashCameraTrkBright	flashCameraTrkBeat	pen_radius_pressure_coef	pen_radius_angleHor_coef	pen_radius_angleVer_coef	tracksSync	currentDrawingTrack	currentVideoTrack	currentPhotoTrack	trkDecay_sign_0	trkDecay_sign_1	trkDecay_sign_2	trkDecay_sign_3	trkDecay_0	trkDecay_1	trkDecay_2	trkDecay_3	CAMixingWeight	PartMixingWeight	trackMixingWeight_0	trackMixingWeight_1	trackMixingWeight_2	trackMixingWeight_3	CAMasterWeight	PartMasterWeight	trackMasterWeight_0	trackMasterWeight_1	trackMasterWeight_2	trackMasterWeight_3	path_replay_trackNo_1	path_replay_trackNo_2	path_replay_trackNo_3	path_replay_trackNo_4	path_replay_trackNo_5	path_replay_trackNo_6	path_replay_trackNo_7	path_record_1	path_record_2	path_record_3	path_record_4	path_record_5	path_record_6	path_record_7	path_repop_0	path_repop_1	path_repop_2	path_repop_3	path_repop_4	path_repop_5	path_repop_6	path_repop_7	part_path_follow_0	part_path_follow_1	part_path_follow_2	part_path_follow_3	part_path_follow_4	part_path_follow_5	part_path_follow_6	part_path_follow_7	part_path_repulse_0	part_path_repulse_1	part_path_repulse_2	part_path_repulse_3	part_path_repulse_4	part_path_repulse_5	part_path_repulse_6	part_path_repulse_7	auto_beat	auto_beat_duration	CAdecay_sign	CAdecay	CAdecay_pulse	invertMovie	cameraCumul	cameraThreshold	cameraGamma	cameraExposure	cameraGain	cameraBrightness	cameraSaturation	cameraContrast	cameraWB	video_satur	video_satur_pulse	cameraCaptFreq	movieCaptFreq	cameraWeight	movieWeight	cameraSobel	movieSobel	playing_movieNo	BGSubtr	CAstep	interfaceMode	CAcolorSpread	sound_volume	sound_min	beat_threshold	beat_delay	freeze	photoWeight	photo_diaporama	photo_diaporama_fade	photo_diaporama_plateau	sound_env_min	sound_env_max	currentBGCapture	partDecay_sign	partDecay	part_initialization	part_radius	part_radius_pulse	partMove_target	partMove_rand	partExit_mode	partStroke_mode	partColor_mode	part_damp_targtRad	part_timeToTargt	part_field_weight	partRepopRadius	part_acc	part_damp_factor	part_acc_pulse	hide	soundtrack_onOff	adc_onOff	track_x_transl_0	track_x_transl_1	track_y_transl_0	track_y_transl_1	repop_path	particle_type	sample_setUp	sensor_layout	sensor_activation	sensor_vol	pen_radius_replay	pen_radius_replay_pulse	pen_color_replay_pulse	echo_Hshift_pulse	part_Vshift_pulse	tracks_Hshift_pulse	flashWeight_pulse	maskJitterAmpl	photoJitterAmpl	photo_value	photo_value_pulse	photo_satur	photo_satur_pulse	mask_scale	photo_scale	mask_contrast	photo_contrast
	1	1	0	0	0	0	0	0	0	1	1	1	0.019	0	0.658714286	0	0	0.01	1.7	1.7	0.5	0.5	0	0	0	0	0	0	2	3	0	0	1	0.85	0.9	0.75	0.34	0.252	0	0	0	0	0	0	0	1	0	0.6	0.02	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	-1	8	8	8	0	0	1	1	-1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	1	0	0	0	0	0.220408	1	5	0	120	0	120	0	0	0	14	0	0	0	0	0	-1	1	1	0	1	1	0	1000	330	0	0	-1	0.2	10	40	85	1	1	0	-1	3	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	4	1	1	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
	1	1	0	0	0	0	0	0	0	1	0	1	0.019	0	0.658714286	0	0	0.01	1.7	1.7	0.5	0.5	0	0	0	0	0	0	2	3	0	0	1	0.85	0.9	0.75	0.34	0.252	0	0	0	0	0	0	0	1	0	0.6	0.02	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	-1	8	8	8	0	0	1	1	-1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	1	0	0	0	0	0.220408	1	5	0	120	0	120	0	0	0	14	0	0	0	0	0	-1	1	1	0	1	1	0	1000	330	0	0	-1	0.2	10	40	85	1	1	0	-1	3	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	4	1	1	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
	s	s	s	s	s	s	s	s	s	s	L 0.66 0.34	s	s	s	s	s	s	l	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	k	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	k	k	k	k	k	k	k	k	s	s	s	s	s	s	s	s	s	s	s	s	s	k	k	s	k	k	s	s	s	s	k	k	s	s	s	s	l	s	s	s	s	s	s	s	s	s	l	l	s	s	s	s	s	s	s	s	s	s	s	s	s	s	k	k	s	k	s	s	s	s	s	s	s	s	s	s	s	s	s	s
/scene																																																																																																																																																																																																																													
/scenario																																																																																																																																																																																																																													
videos	6																																																																																																																																																																																																																												
movie	effe/effe_zipper.mp4																																																																																																																																																																																																																												
movie	effe/Double41-47.mp4																																																																																																																																																																																																																												
movie	effe/effe_mountain.mp4																																																																																																																																																																																																																												
movie	effe/birds.mp4																																																																																																																																																																																																																												
movie	effe/Anamnesis43.mp4																																																																																																																																																																																																																												
movie	effe/werecord43.mp4																																																																																																																																																																																																																												
/videos																																																																																																																																																																																																																													
photos	1																																																																																																																																																																																																																												
album	captures																																																																																																																																																																																																																												
/photos																																																																																																																																																																																																																													
brushes	3																																																																																																																																																																																																																												
ID	Pen_demo_3D																																																																																																																																																																																																																												
/brushes																																																																																																																																																																																																																													
soundtracks	5																																																																																																																																																																																																																												
track	effe/effe-yourface-2.wav	Yface																																																																																																																																																																																																																											
track	effe/effe-psychopomp-2.wav	Psy																																																																																																																																																																																																																											
track	effe/effe-temptation-2.wav	Tem																																																																																																																																																																																																																											
track	effe/effe-caring-2.wav	Car																																																																																																																																																																																																																											
track	effe/effe-mercy-2.wav	Mer																																																																																																																																																																																																																											
/soundtracks																																																																																																																																																																																																																													
svg_paths	3	path_No	track_No	radius	color_r	color_g	color_b																																																																																																																																																																																																																						
svg_path	Malaussena/les_ateliers_portatifs_Moteur.svg	1	0	1	1	1	1																																																																																																																																																																																																																						
svg_path	Malaussena/les_ateliers_portatifs_Sustain.svg	2	0	30	1	1	1																																																																																																																																																																																																																						
svg_path	Malaussena/les_ateliers_portatifs_Doppler.svg	3	0	1	1	1	1																																																																																																																																																																																																																						
/svg_paths																																																																																																																																																																																																																													
palette_colors	7																																																																																																																																																																																																																												
red_grenade_fruit	247	93	57	205	42	23	232	91	107																																																																																																																																																																																																																				
sun	237	222	16	247	78	9	222	80	103																																																																																																																																																																																																																				
green_leaves	81	200	12	161	217	45	249	160	32																																																																																																																																																																																																																				
purples	200	51	255	98	17	209	183	47	66																																																																																																																																																																																																																				
oranges	255	85	33	255	52	19	218	0	77																																																																																																																																																																																																																				
greens	11	255	123	0	176	119	64	218	255																																																																																																																																																																																																																				
blue_abyss	21	37	159	87	66	167	4	134	132																																																																																																																																																																																																																				
/palette_colors																																																																																																																																																																																																																													
color_presets	3																																																																																																																																																																																																																												
blue	0.8428																																																																																																																																																																																																																												
red	0.5357																																																																																																																																																																																																																												
gold	0.1571																																																																																																																																																																																																																												
/color_presets																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
			track_No		color_r	color_g	color_b																																																																																																																																																																																																																						
			0		1	1	1																																																																																																																																																																																																																						
			0		1	1	1																																																																																																																																																																																																																						
			0		1	1	1																																																																																																																																																																																																																						
																																																																																																																																																																																																																													
																																																																																																																																																																																																																													
			33		52	19	218		77																																																																																																																																																																																																																				
			16		78	9	222		103																																																																																																																																																																																																																				
			12		217	45	249		32																																																																																																																																																																																																																				
			255		17	209	183		66																																																																																																																																																																																																																				
			57		42	23	232		107																																																																																																																																																																																																																				
			123		176	119	64		255																																																																																																																																																																																																																				
			159		66	167	4		132																																																																																																																																																																																																																				
